Id,Label,screen_name,weight,In-Degree,Out-Degree,Degree,Modularity Class,Clustering Coefficient,Eigenvector Centrality
2661973572,annonimehelper,annonimehelper,1,2,0,2,3,0.5,0.035172715
1249473980,UmmAnwar6,UmmAnwar6,1,1,0,1,3,0,0.024711015
540538386,Jeblawe_7ur,Jeblawe_7ur,1,1,1,2,3,0.5,0.033391593
40760866,DrShaffopolis,DrShaffopolis,1,0,1,1,3,0,0
1224013356,bdarifhasan,bdarifhasan,1,1,0,1,3,0,0.024711015
2210625073,Muhammad_borec,Muhammad_borec,1,2,0,2,3,0.5,0.058102608
2759944462,mohamadalshahab,mohamadalshahab,1,1,0,1,3,0,0.024711015
2177037956,rawa110,rawa110,1,0,1,1,3,0,0
543487657,ibi_070,ibi_070,1,1,0,1,3,0,0.024711015
1020425911,AbuDiraar,AbuDiraar,1,1,0,1,3,0,0.024711015
2580412093,Mizan999999,Mizan999999,1,2,0,2,3,0.5,0.058102608
2793633527,Aidrusali2014Qa,Aidrusali2014Qa,1,3,0,3,3,0.5,0.077416012
2850551563,AbosamraAshraf,AbosamraAshraf,1,1,0,1,3,0,0.024711015
290584348,ansar6599,ansar6599,1,0,1,1,3,0,0
2264659804,EbuRuana,EbuRuana,1,2,0,2,3,0.5,0.035172715
2522707806,Ali_A_Wahid,Ali_A_Wahid,1,2,0,2,3,1,0.073645766
2270001000,JabhatALnusra22,JabhatALnusra22,1,1,0,1,3,0,0.024711015
919172994,pray_shan,pray_shan,1,1,0,1,3,0,0.024711015
14677919,NewYorker,NewYorker,1,0,1,1,3,0,0
2327592604,AdwanShah,AdwanShah,1,1,0,1,3,0,0.024711015
2822535196,muhammadumar913,muhammadumar913,1,2,0,2,3,1,0.073645766
2672949296,gazzesavasi,gazzesavasi,1,1,0,1,3,0,0.024711015
1349548249,abusaryah1,abusaryah1,1,0,1,1,3,0,0
555968898,rashuje,rashuje,1,1,0,1,3,0,0.024711015
967234621,novaicha5,novaicha5,1,1,0,1,3,0,0.024711015
2722920848,AErhabee,AErhabee,1,4,0,4,3,0.5,0.110807606
2826828246,simon_wtf,simon_wtf,1,3,0,3,3,0.5,0.077416012
2831251928,sosoaammoo,sosoaammoo,1,1,0,1,3,0,0.024711015
1712257544,RashidRants,RashidRants,1,1,0,1,3,0,0.024711015
270367283,salnasi,salnasi,1,0,1,1,3,0,0
1675623042,AboMHDAlFateh,AboMHDAlFateh,1,0,1,1,3,0,0
2785180317,kufrbittaghout,kufrbittaghout,1,2,0,2,3,0.5,0.035172715
2766487330,mohamedraouafi1,mohamedraouafi1,1,1,0,1,3,0,0.024711015
2340191056,rizmo87,rizmo87,1,1,0,1,3,0,0.024711015
943487838,abosofyan7,abosofyan7,1,0,1,1,3,0,0
1259076475,thtt2015,thtt2015,1,0,1,1,3,0,0
2806807469,abukholod890,abukholod890,1,1,0,1,3,0,0.024711015
826964924,myc0nsc1ence,myc0nsc1ence,1,1,0,1,3,0,0.024711015
2843211061,AbuMusaBinKh,AbuMusaBinKh,1,1,0,1,3,0,0.024711015
2505374700,selahadin73,selahadin73,1,2,0,2,3,0.5,0.035172715
435180714,plondurci,plondurci,1,2,0,2,3,1,0.073645766
87096338,Amin16,Amin16,1,1,0,1,3,0,0.024711015
2865691669,Sunnahkitab1,Sunnahkitab1,1,1,0,1,3,0,0.024711015
2834103346,DKhalilzai,DKhalilzai,1,1,0,1,3,0,0.024711015
2816375865,ZankoAbdulla,ZankoAbdulla,1,1,0,1,3,0,0.024711015
2735406160,randommissing,randommissing,1,1,0,1,3,0,0.024711015
2257124437,mjahedalsham,mjahedalsham,1,0,1,1,3,0,0
2387770466,musaabbaghdad,musaabbaghdad,1,3,0,3,3,0.6666667,0.068564309
2830859368,arifgfx,arifgfx,1,1,0,1,3,0,0.024711015
2302475376,dshazi10,dshazi10,1,1,0,1,3,0,0.024711015
1640797423,Yemen4Usa,Yemen4Usa,1,0,1,1,3,0,0
2780233126,Firdaws911,Firdaws911,1,1,0,1,3,0,0.024711015
227442095,Cigouave,Cigouave,1,1,0,1,3,0,0.024711015
2807365060,xheva2010,xheva2010,1,1,0,1,3,0,0.024711015
1144782308,shamfalcons,shamfalcons,1,0,1,1,3,0,0
2598764052,Tameri93,Tameri93,1,1,0,1,3,0,0.024711015
464289318,Hamosh84,Hamosh84,1,1,0,1,3,0,0.024711015
1666023019,nadviahmed,nadviahmed,1,1,0,1,3,0,0.024711015
2591522450,MathiFryy,MathiFryy,1,1,0,1,3,0,0.024711015
2762145497,AlExtrimi,AlExtrimi,1,1,0,1,3,0,0.024711015
2831187725,EstellLeonet,EstellLeonet,1,3,0,3,3,0.8333333,0.10703736
2480340751,ZaydMoslim__,ZaydMoslim__,1,2,0,2,3,1,0.073645766
119209826,4mbo,4mbo,1,1,0,1,3,0,0.024711015
588316566,abdullahi1237,abdullahi1237,1,2,0,2,3,0.5,0.035172715
355931463,iLoveLupahsug,iLoveLupahsug,1,2,0,2,3,0,0.028481261
2831155125,DukhanTheSmoke,DukhanTheSmoke,1,2,0,2,3,1,0.073645766
586055609,mohdromih,mohdromih,1,0,1,1,3,0,0
